generic_name,dosage_form,strength,category,indications,list_tier,source,metadata
Halothane,Inhalation,"4-6% and 1-1.5%, 30ml, 50ml, 200ml, 250ml",Inhalant anaesthetics,General anaesthesia for clinical and surgical procedures,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Inhalant anaesthetics General anaesthesia for clinical and surgical procedures
Isoflurane,Inhalation,"99.9% or 1ml/ml (100 ml, 250 ml)",Inhalant anaesthetics,General anaesthesia for clinical and surgical procedures,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Inhalant anaesthetics General anaesthesia for clinical and surgical procedures
Sevoflurane,Inhalation,3ml vial,Inhalant anaesthetics,General anaesthesia for clinical and surgical procedures,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Inhalant anaesthetics General anaesthesia for clinical and surgical procedures
Ketamine,Injection,"10mg/ml, and 50mg/ml: 2ml, 10ml, 20ml",Dissociative anaesthetic,"Anaesthesia, immobilization for clinical examination and surgical procedures",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Dissociative anaesthetic Anaesthesia, immobilization for clinical examination and surgical procedures"
Thiopental sodium,Injection,"500mg, 1gm",Barbiturate,General anaesthesia in major and minor surgical procedures,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Barbiturate General anaesthesia in major and minor surgical procedures
Propofol,Injection,"1% (10 mg/ml): 10ml, 20ml",Non Barbiturate,General anaesthesia in major and minor surgical procedures,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Non Barbiturate General anaesthesia in major and minor surgical procedures
Oxygen,Inhalation (Medical gas),,Oxygen,Medical and surgical conditions Requiring oxygen,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Oxygen Medical and surgical conditions Requiring oxygen
Bupivacaine,Injection,"0.25%, 0.5%, 1%, 20ml and 2ml",Local anaesthetic,"Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Local anaesthetic Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures"
Lidocaine,Injection,"1%, 2%, 5% injection in vials",Local anaesthetic,"Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Local anaesthetic Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures"
Lidocaine,Topical,2% (w/w),Local anaesthetic,"Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Local anaesthetic Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia to facilitate clinical/surgical procedures"
Lidocaine + Epinephrine,Injection,2% (as hydrochloride or sulfate) + epinephrine 1:200000 in vial,Local anaesthetic,"Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Local anaesthetic Infiltration anaesthesia, surface anaesthesia, nerve block, regional anaesthesia, epidural anaesthesia"
Xylazine hydrochloride,Injection,"2%: 2ml, 10ml, 30ml, 50ml",Sedative/Pre-anaesthetic,"Induce sedation, analgesia, muscle relaxation, and immobilization of excited animals",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Sedative/Pre-anaesthetic Induce sedation, analgesia, muscle relaxation, and immobilization of excited animals"
Atropine sulphate,Injection,"1mg/ml: 1 ml ampoule, 10 ml, 30 ml, 100ml",Sedative/Pre-anaesthetic,Pre-anaesthetic,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Sedative/Pre-anaesthetic Pre-anaesthetic
Yohimbine hydrochloride,Injection,10mg/ml: 10 ml,Antidotes of sedatives,Complete reversal of anaesthetics effects of Xylazine HCL,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antidotes of sedatives Complete reversal of anaesthetics effects of Xylazine HCL
Atipamezole hydrochloride,Injection,5 mg/ml: 10 ml,Antidotes of sedatives,"Immobilization of non-domestic and wild species like Rhino, elephant",Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antidotes of sedatives Immobilization of non-domestic and wild species like Rhino, elephant"
Lorazepam,Tablet/Injection,"0.5 mg,1mg, 2mg, Inj: 2mg/ml in 1 ml and 2 ml",Sedatives and Tranquilizers,Anxiety and fear related disorders,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Sedatives and Tranquilizers Anxiety and fear related disorders
Alprazolam,Tablet,"0.25mg, 0.5mg, 1mg",Sedatives and Tranquilizers,Anxiety and fear related disorders,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Sedatives and Tranquilizers Anxiety and fear related disorders
Chlorpromazine,"Tablet, Injection","Tablet:10mg, 25mg, 50mg, 100mg; Injection: 2.5%w/v(50mg/2ml) in 1 ml ampoule",Sedatives and Tranquilizers,"Preanaesthetic, immobilisation of animal",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Sedatives and Tranquilizers Preanaesthetic, immobilisation of animal"
Triflupromazine,"Tablet, Injection","Tablet: 5mg,10mg, Injection:20mg/ml in 5 ml vial",Sedatives and Tranquilizers,"Preanaesthetic, immobilisation of animal",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Sedatives and Tranquilizers Preanaesthetic, immobilisation of animal"
Dexamethasone,"Injection, Tablet","Injection(4 mg/ml): 5ml, 10ml,30 ml, Tablet: 0.5 mg, 1mg, 2mg, 4 mg",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs),"Anti-Inflammatory, arthritis, shock, tissue damage, toxaemia etc",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs) Anti-Inflammatory, arthritis, shock, tissue damage, toxaemia etc"
Prednisolone,"Injection, Tablet","1% solution: 10 ml vial, Tablet: 5 mg, 10 mg, 20 mg, 40 mg",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs),Anti-Inflammatory,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs) Anti-Inflammatory
Betamethasone,Injection,"4mg/ml: 5ml, 10ml",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs),"Anti-Inflammatory, arthritis, shock, tissue damage, toxaemia etc",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs) Anti-Inflammatory, arthritis, shock, tissue damage, toxaemia etc"
Meloxicam,"Tablet, Injection, Suspension","Tablet:100mg, Injection: 5mg/ml in 2ml,10ml, 30ml Oral Suspension: 1.5 mg/ml in 10 ml pack",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs),Pyrexia of Unknown origin (PUO),Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Steroidal and Non-steroidal antiinflammatory drugs (NSAIDs) Pyrexia of Unknown origin (PUO)
